COMPANIES,,,,,BranchType: Factory,,
YPI & YMC,,,,,FACTORY,,
Company,Department,Branch,,,Company,Department,Branch
YMC,SALES DIVISION,PARAÑAQUE CENTER,,,,,
YMC,SALES DIVISION,MARIKINA CENTER,,,,,
YMC,SALES DIVISION,MALABON CENTER,,,,,
YMC,SALES DIVISION,CONGRESSIONAL CENTER,,,,,
YMC,SALES DIVISION,IMUS CENTER,,,,,
YMC,SALES DIVISION,ZABARTE CENTER,,,,,
YMC,SALES DIVISION,BIÑAN CENTER,,,,,
YMC,SALES DIVISION,SAN JUAN CENTER,,,,,
YPI,Shipping Department,MARILAO DEPOT,,,,,
YPI,Shipping Department,MANILA LIAISON OFFICE,,,,,
YPI,Shipping Department,VICTORIA DEPOT,,,,,
YPI,Shipping Department,ANTIPOLO DEPOT,,,,,
YMC,Shipping Department,MANILA LIAISON OFFICE,,,,,
YMC,Shipping Department,VICTORIA DEPOT,,,,,
YMC,Shipping Department,MARILAO DEPOT,,,,,
YMC,Special Audit Section (SAS),MANILA LIAISON OFFICE,,,,,
